"http://dbpedia.org/class/yago/Brands";"http://dbpedia.org/class/yago/CPUSockets"
"http://dbpedia.org/resource/Category:Intel_x86_microprocessors,http://dbpedia.org/resource/Category:Lists_of_microprocessors";"http://dbpedia.org/resource/Category:CPU_sockets"
"Intel Pentium";"Socket 7"
"Intel Pentium MMX";"Socket 7"
"Intel Atom";"Socket PBGA437"
"Intel Celeron";"Slot 1"
"Intel Pentium Pro";"Socket 8"
"Intel Pentium II";"Slot 1"
"Intel Pentium III";"Slot 1, Socket 370"
"Intel Xeon";"Slot 2, Socket 603, Socket 604, Socket J, Socket T, Socket B LGA 1156, LGA 1366"
"Pentium 4";"Socket 423"
"Pentium 4 Extreme Edition";"Socket 478"
"Pentium M";"Socket 479"
"Pentium D/EE";"Socket T"
"Intel Pentium Dual-Core";"Socket 775"
"Intel Pentium New";"LGA 1155"
"Intel Core";"Socket M"
"Intel Core 2";"Socket 775"
"Intel Core i3";"LGA 1155"
"Intel Core i5";"LGA 1156"
"Intel Core i7";"LGA 1156"
"Intel Core i7";"LGA 1366, LGA 2011"
"(Name)";"(Socket)"
