"http://dbpedia.org/class/yago/Victim110752093";"http://dbpedia.org/class/yago/Representative110522035";"http://dbpedia.org/class/yago/Injuries"
"http://dbpedia.org/page/Category:Crime_victims";"http://dbpedia.org/page/Category:Politics";"http://dbpedia.org/page/Category:Violence"
"Stephen Timms";"British MP";"Knife attack"
"Moussa Dadis Camara";"President of Guinea";"Shooting"
"Anvar-qori Tursunov[";"Prominent Uzbeki imam-khatib";"Knife attack"
"Yunus-Bek Yevkurov";"Head of Ingushetia";"Suicide car bomb"
"Queen Beatrix, and the Royal Family";"Queen of the Netherlands";"Car attack by Tates"
"Prince Willem-Alexander";"Son and 'heir apparent' to Queen Beatrix";"Car attack"
"Jose Ramos-Horta";"President of Timor-Leste";"Home invasion by rebel soldiers"
"Xanana Gusmão";"Prime Minister of Timor-Leste";"Roadside ambush"
"Maumoon Abdul Gayoom";"President of the Maldives";"Knife attack thwarted by Mohamed Jaisham Ibrahim"
"Benazir Bhutto";"Candidate for, and ex-Prime Minister of Pakistan";"Bomb attack on motorcade"
"Pervez Musharraf";"President of Pakistan";"Sniper attack on plane"
"Guillaume Soro";"Prime Minister of the Ivory Coast";"Rocket and rifle ambush"
"Onyema Ugochukwu";"Gubernatorial candidate of Abia State, Nigeria";"Gun attack"
"Dick Cheney";"Vice President of the United States";"Mortar/bomb attack"
"Adil Abdul-Mahdi";"Vice President of Iraq";"Bomb planted under chair"
"Gotabhaya Rajapaksa";"Secretary of Defense for Sri Lanka and brother of the President";"Suicide bomber using an auto rikshaw."
"Abdullahi Yusuf Ahmed";"President of Somalia";"Suicide car bomb"
"Georgios Voulgarakis";"Greek Minister of Culture";"Remote controlled IED"
"Sibghatullah Mojadeddi";"President of the Afghani Meshrano Jirga (Senate)";"Suicide car bomb"
"George W. Bush";"President of the United States";"Grenade attack"
"Mikheil Saakashvili";"President of Georgia";"Grenade attack"
"Anatoly Chubais";"Russian politician and administrator of RAO UES";"IED and ambush"
"Ibrahim Rugova";"President of Kosovo";"IED"
"Viktor Yushchenko";"Candidate for President of the Ukraine";"Possible dioxin poisoning"
"Ahmad Chalabi";"Iraqi politician and contender for the Presidency";"Sniper attack"
"Sheikh Hasina";"Prime Minister of Bangladesh";"Grenade attack."
"Shaukat Aziz";"Prime Minister of Pakistan";"Suicide car bomb"
"Murat Zyazikov";"President of Ingushetia";"Suicide car bomb attack"
"Chen Shui-bian";"President of the Republic of China";"Sniper attack."
"Annette Lu";"Vice President of the Republic of China";"Sniper attack."
"Pervez Musharraf";"President of Pakistan";"Two suicide bombers attacked."
"Bertrand Delanoë";"Mayor of Paris, France";"Knife attack."
"Hamid Karzai";"President of Afghanistan";"Gun attack."
"Jacques Chirac";"President of France";"Rifle attack."
"Ezekiel Alebua";"Former Solomon Islands PM, serving as premier of Guadalcanal";"Not reported."
"(Person)";"(Title)";"(Method)"
