"http://dbpedia.org/ontology/MusicalArtist";"http://dbpedia.org/ontology/Country";"http://dbpedia.org/ontology/MusicalWork,http://dbpedia.org/ontology/Single";"http://dbpedia.org/ontology/MusicalArtist"
"http://dbpedia.org/resource/Category:Grammy_Award_winners";"http://dbpedia.org/resource/Category:Countries";"http://dbpedia.org/resource/Category:Grammy_Award_for_Song_of_the_Year";"http://dbpedia.org/resource/Category:Grammy_Award_winners"
"Domenico Modugno";" Italy";"Volare";"Domenico Modugno"
"Jimmy Driftwood";" United States";"The Battle of New Orleans";"Johnny Horton"
"Ernest Gold";" United States,Austria";"Theme of Exodus";"Instrumental"
"Henry Mancini,Johnny Mercer";" United States";"Moon River";"Andy Williams"
"Leslie Bricusse,Anthony Newley";" United Kingdom";"What Kind of Fool Am I?";"Sammy Davis, Jr."
"Henry Mancini,Johnny Mercer";" United States";"Days of Wine and Roses";"Andy Williams"
"Jerry Herman";" United States";"Hello, Dolly!";"Louis Armstrong"
"Paul Francis Webster,Johnny Mandel";" United States";"The Shadow of Your Smile";"Tony Bennett"
"John Lennon,Paul McCartney";" United Kingdom";"Michelle";"The Beatles"
"Jimmy Webb";" United States";"Up, Up, and Away";"The 5th Dimension"
"Bobby Russell";" United States";"Little Green Apples";"O.C. Smith"
"Joe South";" United States";"Games People Play";"Joe South"
"Paul Simon";" United States";"Bridge over Troubled Water";"Simon & Garfunkel"
"Carole King";" United States";"You've Got a Friend";"James Taylor & Carole King"
"Ewan MacColl";" United Kingdom";"The First Time Ever I Saw Your Face";"Roberta Flack"
"Norman Gimbel, Charles Fox";" United States";"Killing Me Softly with His Song";"Roberta Flack"
"Marilyn Bergman,Alan Bergman,Marvin Hamlisch";" United States";"The Way We Were";"Barbra Streisand"
"Stephen Sondheim";" United States";"Send in the Clowns";"Judy Collins"
"Bruce Johnston";" United States";"I Write the Songs";"Barry Manilow"
"Barbra Streisand,Paul Williams";" United States";"Evergreen (Love Theme from A Star Is Born)";"Barbra Streisand"
"Billy Joel";" United States";"Just the Way You Are";"Billy Joel"
"Kenny Loggins,Michael McDonald";" United States";"What a Fool Believes";"The Doobie Brothers"
"Christopher Cross";" United States";"Sailing";"Christopher Cross"
"Donna Weiss,Jackie DeShannon";" United States";"Bette Davis Eyes";"Kim Carnes"
"Johnny Christopher,Mark James,Wayne Carson";" United States";"Always on My Mind";"Willie Nelson"
"Sting";" United Kingdom";"Every Breath You Take";"The Police"
"Graham Lyle,Terry Britten";" United Kingdom,Australia";"What's Love Got to Do with It";"Tina Turner"
"Michael Jackson,Lionel Richie";" United States";"We Are the World";"USA for Africa"
"Burt Bacharach,Carole Bayer Sager";" United States";"That's What Friends Are For";"Dionne Warwick & Friends"
"James Horner,Barry Mann,Cynthia Weil";" United States";"Somewhere Out There";"Linda Ronstadt & James Ingram"
"Bobby McFerrin";" United States";"Don't Worry, Be Happy";"Bobby McFerrin"
"Larry Henley,Jeff Silbar";" United States";"Wind Beneath My Wings";"Bette Midler"
"Julie Gold";" United States";"From a Distance";"Bette Midler"
"Irving Gordon";" United States";"Unforgettable";"Natalie Cole with Nat King Cole"
"Eric Clapton,Will Jennings";" United Kingdom,United States";"Tears in Heaven";"Eric Clapton"
"Alan Menken,Tim Rice";" United States";"A Whole New World";"Peabo Bryson & Regina Belle"
"Bruce Springsteen";" United States";"Streets of Philadelphia";"Bruce Springsteen"
"Seal";" United Kingdom";"Kiss from a Rose";"Seal"
"Gordon Kennedy,Wayne Kirkpatrick,Tommy Sims";" United States";"Change the World";"Eric Clapton"
"Shawn Colvin,John Leventhal";" United States";"Sunny Came Home";"Shawn Colvin"
"James Horner,Will Jennings";" United States";"My Heart Will Go On";"Celine Dion"
"Itaal Shur,Rob Thomas";" United States";"Smooth";"Santana featuring Rob Thomas"
"Adam Clayton,David Evans,Larry Mullen Jr.,Paul Hewson";" Ireland";"Beautiful Day";"U2"
"Alicia Keys";" United States";"Fallin'";"Alicia Keys"
"Jesse Harris";" United States";"Don't Know Why";"Norah Jones"
"Richard Marx,Luther Vandross";" United States";"Dance with My Father";"Luther Vandross"
"John Mayer";" United States";"Daughters";"John Mayer"
"Adam Clayton,David Evans,Larry Mullen Jr.,Paul Hewson";" Ireland";"Sometimes You Can't Make It on Your Own";"U2"
"Emily Robison,Martie Maguire,Natalie Maines,Dan Wilson";" United States";"Not Ready to Make Nice";"Dixie Chicks"
"Amy Winehouse";" United Kingdom";"Rehab";"Amy Winehouse"
"Guy Berryman,Jonathan Buckland,Will Champion,Chris Martin";" United Kingdom";"Viva la Vida";"Coldplay"
"Thaddis Harrell,Beyoncé Knowles,Terius Nash,Christopher Stewart";" United States";"Single Ladies (Put a Ring on It)";"Beyoncé"
"Dave Haywood,Josh Kear,Charles Kelley,Hillary Scott";" United States";"Need You Now";"Lady Antebellum"
"Adele Adkins,Paul Epworth";" United Kingdom";"Rolling in the Deep";"Adele"
"Nate Ruess,Jack Antonoff,Jeff Bhasker,Andrew Dost";" United States";"We Are Young";"Janelle Monáe"
"(Songwriter)";"(Nationality)";"(Work)";"(Performing artist)"
