" ";" ";" "
"http://dbpedia.org/resource/Category:2000_Atlantic_hurricane_season";"http://dbpedia.org/resource/Category:2001_Atlantic_hurricane_season";"http://dbpedia.org/resource/Category:2008_Atlantic_hurricane_season"
"Alberto";"Allison";"Arthur"
"Beryl";" Barry";"Bertha"
"Chris";"Chantal";"Cristobal"
"Debby";"Dean";"Dolly"
"Ernesto";"Erin";"Edouard"
"Florence";"Felix";"Fay"
"Gordon";"Gabrielle";"Gustav"
"Helene";"Humberto";"Hanna"
"Isaac";"Iris";"Ike"
"Joyce";"Jerry";"Jospehine"
"Keith";"Karen";"Kyle"
"Leslie";"Lorenzo";"Laura"
"Michael";"Michelle";"Marco"
"Nadine";"Olga";"Nana"
"(2000)";"(2001)";"(2008)"
