"http://dbpedia.org/class/yago/NaziLeaders"
"http://dbpedia.org/page/Category:People_convicted_by_the_International_Military_Tribunal_in_Nuremberg,http://dbpedia.org/page/Category:Nazi_leaders,http://dbpedia.org/page/Category:Members_of_the_Reichstag_of_Nazi_Germany"
"Martin Bormann"
"Karl Dönitz"
"Hans Frank"
"Wilhelm Frick"
"Hans Fritzsche"
"Walther Funk"
"Hermann Göring"
"Rudolf Hess"
"Alfred Jodl"
"Ernst Kaltenbrunner"
"Wilhelm Keitel"
"Gustav Krupp von Bohlen und Halbach"
"Robert Ley"
"Baron Konstantin von Neurath"
"Franz von Papen"
"Erich Raeder"
"Joachim von Ribbentrop"
"Alfred Rosenberg"
"Fritz Sauckel"
"Dr. Hjalmar Schacht"
"Baldur von Schirach"
"Arthur Seyss-Inquart"
"Albert Speer"
"Julius Streicher"
"(Name)"
