"http://dbpedia.org/class/yago/UniversitiesInGermany";"http://dbpedia.org/class/yago/UniversityTownsInGermany"
"http://dbpedia.org/resource/Category:Universities_in_Germany,http://dbpedia.org/page/Category:Public_universities";"http://dbpedia.org/resource/Category:University_towns_in_Germany"
"Heidelberg University";"Heidelberg"
"Leipzig University";"Leipzig"
"University of Rostock";"Rostock"
"University of Greifswald";"Greifswald"
"University of Freiburg";"Freiburg"
"University of Munich";"Munich"
"University of Tübingen";"Tübingen"
"University of Halle-Wittenberg";"Halle"
"University of Marburg";"Marburg"
"University of Jena";"Jena"
"(University)";"(Location)"
