"http://dbpedia.org/ontology/TelevisionShow";"http://dbpedia.org/class/yago/AmericanTelevisionNetworks,http://dbpedia.org/ontology/BroadcastNetwork";"http://dbpedia.org/class/yago/LGBT-relatedTelevisionEpisodes"
"http://dbpedia.org/resource/Category:Television_series";"http://dbpedia.org/resource/Category:American_television_networks";"http://dbpedia.org/resource/Category:LGBT-related_television_episodes"
"21 Jump Street";"Fox";"A Change of Heart"
"American Playhouse";"PBS";"Andre's Mother"
"Designing Women";"CBS";"Suzanne Goes Looking for a Friend"
"Doctor, Doctor";"CBS";"Accentuate the Positive"
"Doctor, Doctor";"CBS";"The Terminator"
"The Fanelli Boys";"NBC";"Pursued"
"The Golden Girls";"NBC";"Ebbtide's Revenge"
"L.A. Law";"NBC";"Outward Bound"
"L.A. Law";"NBC";"Smoke Gets in Your Thighs"
"Law & Order";"NBC";"The Reaper's Helper"
"Lifestories";"NBC";"Steve Burdick"
"Married... with Children";"Fox";"Dance Show"
"Northern Exposure";"CBS";"Brains, Know How and Native Intelligence"
"Quantum Leap";"NBC";"Good Night, Dear Heart"
"Roseanne";"ABC";"Trick or Treat"
"The Simpsons";"Fox";"Simpson and Delilah"
"Star Trek: The Next Generation";"Syndicated";"The Host"
"Wings";"NBC";"There's Always Room for Cello"
"Beverly Hills, 90210";"Fox";"Summer Storm"
"Coach";"ABC";"A Real Guy's Guy"
"Dear John";"NBC";"Kirk's Ex-Wife"
"Designing Women";"CBS";"Toe in the Water"
"The Golden Girls";"NBC";"Sister of the Bride"
"L.A. Law";"NBC";"Speak, Lawyers for Me"
"L.A. Law";"NBC";"He's a Crowd"
"L.A. Law";"NBC";"Since I Fell for You"
"L.A. Law";"NBC";"Do the Spike Thing"
"L.A. Law";"NBC";"The Nut Before Christmas"
"Northern Exposure";"CBS";"What I Did for Love"
"Northern Exposure";"CBS";"Slow Dance"
"Roc";"Fox";"Can't Help Loving That Man"
"Roseanne";"ABC";"Dances with Darlene"
"American Playhouse";"PBS";"Tru"
"Cheers";"NBC";"Rebecca's Lover... Not"
"Dream On";"HBO";"For Peter's Sake"
"The Golden Girls";"NBC";"Goodbye, Mr. Gordon"
"Herman's Head";"Fox";"Spermin' Herman"
"Law & Order";"NBC";"Silence"
"Murder She Wrote";"CBS";"Dead File"
"Murphy Brown";"CBS";"Come Out, Come Out, Wherever You Are"
"Northern Exposure";"CBS";"Cicely"
"Picket Fences";"CBS";"Remembering Rosemary"
"Picket Fences";"CBS";"Pageantry"
"Roseanne";"ABC";"Ladies Choice"
