"http://dbpedia.org/ontology/Country";"http://dbpedia.org/class/yago/NationalAnthems";"http://dbpedia.org/class/yago/NationalAnthemWriters";"http://dbpedia.org/class/yago/NationalAnthemWriters"
"http://dbpedia.org/resource/Category:Member_states_of_the_United_Nations";"http://dbpedia.org/resource/Category:National_anthems";"http://dbpedia.org/resource/Category:National_anthem_writers";"http://dbpedia.org/resource/Category:National_anthem_writers"
"Afghanistan";"Millī Surūd";"Abdul Bari Jahani";"Babrak Wassa"
"Albania";"Himni i Flamurit";"Aleksandër Stavre Drenova";"Ciprian Porumbescu"
"Algeria";"Kassaman";"Moufdi Zakaria";"Mohamed Fawzi"
"Andorra";"El Gran Carlemany";"Enric Marfany Bons";"Juan Benlloch y Vivó"
"Angola";"Angola Avante";"Manuel Rui Alves Monteiro";"Rui Alberto Vieira Dias Mingas"
"Antigua and Barbuda";"Fair Antigua, We Salute Thee";"Novelle Hamilton Richards";"Walter Garnet Picart Chambers"
"Argentina";"Himno Nacional";"Vicente López y Planes";"Blas Parera"
"Armenia";"Mer Hayrenik";"Mikael Nalbandian";"Barsegh Kanachyan"
"Australia";"Advance Australia Fair";"Peter Dodds McCormick";"Peter Dodds McCormick"
"Austria";"Land der Berge, Land am Strome";"Paula von Preradović";"Wolfgang Amadeus Mozart/Johann Holzer"
"Azerbaijan";"Azərbaycan marşı";"Ahmed Javad";"Uzeyir Hajibeyov"
"Bahamas";"March On, Bahamaland";"Timothy Gibson";"Timothy Gibson"
"Bahrain";"Bahrainona";"Mohamed Sudqi Ayyash";"unknown"
"Bangladesh";"Amar Shonar Bangla";"Rabindranath Tagore";"Rabindranath Tagore"
"Barbados";"National Anthem of Barbados";"Irving Burgie";"C. Van Roland Edwards"
"Belarus";"My Belarusy";"Michael Klimovich";"Nestar Sakalowski"
"Belgium";"The Brabançonne";"Jenneval";"François Van Campenhout"
"Belize";"Land of the Free";"Samuel Alfred Haynes";"Selwyn Walford Young"
"Benin";"L'Aube Nouvelle";"Gilbert Jean Dagnon";"Gilbert Jean Dagnon"
"Bhutan";"Druk tsendhen";"Dasho Gyaldun Thinley";"Aku Tongmi"
"Bolivia";"Himno Nacional de Bolivia";"José Ignacio de Sanjinés";"Leopoldo Benedetto Vincenti"
"Bosnia and Herzegovina";"Državna himna Bosne i Hercegovine";"Awaiting official approval";"Dušan Šestić"
"Botswana";"Fatshe leno la rona";"Kgalemang Tumedisco Motsete";"Kgalemang Tumedisco Motsete"
"Brazil";"Hino Nacional Brasileiro";"Joaquim Osório Duque Estrada";"Francisco Manuel da Silva"
"Brunei";"Allah Peliharakan Sultan";"Pengiran Haji Mohamed Yusuf bin Abdul Rahim";"Awang Haji Besar bin Sagap"
"Bulgaria";"Mila Rodino";"Tsvetan Radoslavov";"Tsvetan Radoslavov"
"Burkina Faso";"Une Seule Nuit";"Thomas Sankara";"Thomas Sankara"
"Myanmar";"Kaba Ma Kyei";"Saya Tin";"Saya Tin"
"Burundi";"Burundi Bwacu";"Jean-Baptiste Ntahokaja and others";"Marc Barengayabo"
"Cambodia";"Nokor Reach";"Samdach Chuon Nat";"F. Perruchot and J. Jekyll"
"Cameroon";"O Cameroun, Berceau de nos Ancêtres";"René Djam Afame, Samuel Minkio Bamba";"René Djam Afame"
"Canada";"O Canada";"Adolphe-Basile";"Calixa Lavallée"
"Cape Verde";"Cântico da Liberdade";"Amílcar Spencer Lopes";"Adalberto Higino Tavares Silva"
"Central African Republic";"La Renaissance";"Barthélémy Boganda";"Herbert Pepper"
"Chad";"La Tchadienne";"Louis Gidrol";"Paul Villard"
"Chile";"Himno Nacional de Chile";"Eusebio Lillo";"Ramón Carnicer"
"People's Republic of China";"Yìyǒngjūn Jìnxíngqǔ";"Tian Han";"Nie Er"
"Colombia";"Himno Nacional de la República de Colombia";"Rafael Núñez";"Oreste Sindici"
"Comoros";"Udzima wa ya Masiwa";"Said Hachim Sidi,Abderemane";"Said Hachim Sidi Abderemane and Kamildine Abdallah"
"Democratic Republic of the Congo";"Debout Congolais";"Joseph Lutumba";"Simon-Pierre Boka di Mpasi Londi"
"Republic of the Congo";"La Congolaise";"Jacques Tondra and Georges Kibanghi";"Jean Royer and Joseph Spadilière"
"Costa Rica";"Himno Nacional de Costa Rica";"José María Zeledón Brenes";"Manuel María Gutiérrez"
"Côte d'Ivoire";"L'Abidjanaise";"Mathieu Ekra, Joachim Bony, and Pierre Marie Coty";"Pierre Marie Coty and Pierre Michel Pango"
"Croatia";"Lijepa naša domovino";"Antun Mihanović";"Josip Runjanin"
"Cuba";"El Himno de Bayamo";"Perucho Figueredo";"Perucho Figueredo"
"Cyprus";"Ýmnos eis tīn Eleutherían";"Dionýsios Solomós";"Nikolaos Mantzaros"
