"http://dbpedia.org/class/yago/CathedralsInItaly";" ";"http://dbpedia.org/ontology/PopulatedPlace,http://dbpedia.org/ontology/Settlement";"http://dbpedia.org/ontology/Saint,http://dbpedia.org/ontology/Cleric"
"http://dbpedia.org/resource/Category:Cathedrals_in_Italy";"http://dbpedia.org/resource/Category:Roman_Catholic_dioceses_in_Italy";"http://dbpedia.org/resource/Category:Populated_places";"http://dbpedia.org/resource/Category:Saints"
"Acerenza Cathedral";"Acerenza";"Acerenza, Potenza, Basilicata";"Assumption of the Blessed Virgin Mary and Saint Canius"
"Acerno Cathedral";"Salerno-Campagna-Acerno";"Acerno, Salerno, Campania";"Saint Donatus"
"Acerra Cathedral";"Acerra";"Acerra, Naples, Campania";"Assumption of the Blessed Virgin Mary"
"Acireale Cathedral";"Acireale";"Acireale, Catania, Sicily";"Annunciation of the Blessed Virgin Mary"
"Acquapendente Cathedral";"Viterbo";"Acquapendente, Viterbo, Lazio";"Holy Sepulchre"
"Acquaviva Cathedral";"Altamura-Gravina-Acquaviva delle Fonti";"Acquaviva delle Fonti, Bari, Apulia";"Saint Eustace"
"Acqui Cathedral";"Acqui";"Acqui Terme, Alessandria, Piedmont";"Assumption of the Blessed Virgin Mary"
"Adria Cathedral";"Adria-Rovigo";"Adria, Rovigo, Veneto";"Saint Peter and Saint Paul"
"Agrigento Cathedral";"Agrigento";"Agrigento, Sicily";"Assumption of the Blessed Virgin Mary"
"Alatri Cathedral";"Anagni-Alatri";"Alatri, Frosinone, Lazio";"Saint Paul"
"Alba Cathedral";"Alba Pompeia";"Alba, Cuneo, Piedmont";"Saint Lawrence"
"Albano Cathedral";"Albano";"Albano Laziale, Rome, Lazio";"Saint Pancras, Saint John the Baptist"
"Albenga Cathedral";"Albenga-Imperia";"Albenga, Savona, Liguria";"Saint Michael"
"Ales Cathedral";"Ales-Terralba";"Ales, Oristano, Sardinia";"Saint Peter and Saint Paul"
"Alessandria Cathedral";"Alessandria della Paglia";"Alessandria, Piedmont";"Saint Peter"
"Alghero Cathedral";"Alghero-Bosa";"Alghero, Sassari, Sardinia";"Immaculate Conception"
"Alife Cathedral";"Alife-Caiazzo";"Alife, Caserta, Campania";"Assumption of the Blessed Virgin Mary"
"Altamura Cathedral";"Altamura-Gravina-Acquaviva delle Fonti";"Altamura, Bari, Apulia";"Assumption of the Blessed Virgin Mary"
"Amalfi Cathedral";"Amalfi-Cava de' Tirreni";"Amalfi, Salerno, Campania";"Saint Andrew"
