"http://dbpedia.org/class/yago/CountiesOfTheRepuBlicOfIreland";"http://dbpedia.org/class/yago/CountyTownsInTheRepuBlicOfIreland";"http://dbpedia.org/class/yago/ProvincesOfIreland"
"http://dbpedia.org/resource/Category:Counties_of_the_Republic_of_Ireland";"http://dbpedia.org/resource/Category:County_towns_in_the_Republic_of_Ireland";"http://dbpedia.org/resource/Category:Provinces_of_Ireland"
"Antrim";"Ballymena";"Ulster"
"Armagh";"Armagh";"Ulster"
"Carlow";"Carlow";"Leinster"
"Cavan";"Cavan";"Ulster"
"Clare";"Ennis";"Munster"
"Cork";"Cork";"Munster"
"Donegal";"Lifford";"Ulster"
"Down";"Downpatrick";"Ulster"
"Dublin";"Dublin";"Leinster"
"Fermanagh";"Enniskillen";"Ulster"
"Galway";"Galway";"Connacht"
"Kerry";"Tralee";"Munster"
"Kildare";"Naas";"Leinster"
"Kilkenny";"Kilkenny";"Leinster"
"Laois";"Portlaoise";"Leinster"
"Leitrim";"Carrick-on-Shannon";"Connacht"
"Limerick";"Limerick";"Munster"
"Londonderry";"Coleraine";"Ulster"
"Longford";"Longford";"Leinster"
"Louth";"Dundalk";"Leinster"
"Mayo";"Castlebar";"Connacht"
"Meath";"Navan";"Leinster"
"Monaghan";"Monaghan";"Ulster"
"Offaly";"Tullamore";"Leinster"
"Roscommon";"Roscommon";"Connacht"
"Sligo";"Sligo";"Connacht"
"Tipperary";"Clonmel";"Munster"
"Tyrone";"Omagh";"Ulster"
"Waterford";"Dungarvan";"Munster"
"Westmeath";"Mullingar";"Leinster"
"Wexford";"Wexford";"Leinster"
"Wicklow";"Wicklow";"Leinster"
"(County)";"(County town)";"(Province)"
