"http://dbpedia.org/class/yago/EuropeanCountries";"http://dbpedia.org/ontology/EurovisionSongContestEntry,http://dbpedia.org/ontology/MusicalWork";"http://dbpedia.org/ontology/MusicalArtist";"http://dbpedia.org/ontology/MusicalArtist";"http://dbpedia.org/ontology/PopulatedPlace,http://dbpedia.org/ontology/Settlement"
"http://dbpedia.org/resource/Category:European_countries,http://dbpedia.org/resource/Category:Republics";"http://dbpedia.org/resource/Category:Eurovision_Song_Contest_winning_songs";"http://dbpedia.org/resource/Category:Eurovision_Song_Contest_winners";"http://dbpedia.org/resource/Category:Songwriters";"http://dbpedia.org/resource/Category:Populated_places"
"Switzerland";"Refrain";"Lys Assia";"Géo Voumard, Émile Gardaz";"Lugano"
"Netherlands";"Net als toen";"Corry Brokken";"Guus Jansen, Willy van Hemert";"Frankfurt"
"France";"Dors, mon amour";"André Claveau";"Pierre Delanoë, Hubert Giraud";"Hilversum"
"Netherlands";"Een beetje";"Teddy Scholten";"Dick Schallies, Willy van Hemert";"Cannes"
"France";"Tom Pillibi";"Jacqueline Boyer";"André Popp, Pierre Cour";"London"
"Luxembourg";"Nous les amoureux";"Jean-Claude Pascal";"Jacques Datin, Maurice Vidalin";"Cannes"
"France";"Un premier amour";"Isabelle Aubret";"Claude-Henri Vic, Roland Stephane Valade";"Luxembourg"
"Denmark";"Dansevise";"Grethe and Jørgen Ingmann";"Otto Francker, Sejr Volmer-Sørensen";"London"
"Italy";"Non ho l'età";"Gigliola Cinquetti";"Nicola Salerno, Mario Pinzeri";"Copenhagen"
"Luxembourg";"Poupée de cire, poupée de son";"France Gall";"Serge Gainsbourg";"Naples"
"Austria";"Merci, Chérie";"Udo Jürgens";"Udo Jürgens, Thomas Hörbiger";"Luxembourg"
"United Kingdom";"Puppet on a String";"Sandie Shaw";"Bill Martin, Phil Coulter";"Vienna"
"Spain";"La, la, la";"Massiel";"Manuel de la Calva, Ramón Arcusa";"London"
"Spain";"Vivo cantando";"Salomé";"Maria José de Cerato, Aniano Alcalde";"Madrid"
"United Kingdom";"Boom Bang-a-Bang";"Lulu";"Alan Moorhouse, Peter Warne";"Madrid"
"Netherlands";"De troubadour";"Lenny Kuhr";"Lenny Kuhr, David Hartsema";"Madrid"
"France";"Un jour, un enfant";"Frida Boccara";"Émile Stern, Eddy Marnay";"Madrid"
"Ireland";"All Kinds of Everything";"Dana";"Derry Lindsay, Jackie Smith";"Amsterdam"
"Monaco";"Un banc, un arbre, une rue";"Séverine";"Jean-Pierre Bourtayre, Yves Dessca";"Dublin"
"Luxembourg";"Après toi";"Vicky Leandros";"Mario Panas, Klaus Munro, Yves Dessca";"Edinburgh"
"Luxembourg";"Tu te reconnaîtras";"Anne-Marie David";"Claude Morgan, Vline Buggy";"Luxembourg"
"Sweden";"Waterloo";"ABBA";"Benny Andersson, Björn Ulvaeus, Stig Anderson";"Brighton"
"Netherlands";"Ding-a-dong";"Teach-In";"Dick Bakker, Eddy Ouwens, Will Luikinga";"Stockholm"
"United Kingdom";"Save Your Kisses for Me";"Brotherhood of Man";"Tony Hiller, Lee Sheriden, Martin Lee";"The Hague"
"France";"L'oiseau et l'enfant";"Marie Myriam";"Jean Paul Cara, Joe Gracy";"London"
"Israel";"A-Ba-Ni-Bi";"Izhar Cohen and the Alphabeta";"Nurit Hirsh, Ehud Manor";"Paris"
"Israel";"Hallelujah";"Gali Atari and Milk and Honey";"Kobi Oshrat, Shimrit Orr";"Jerusalem"
"Ireland";"What's Another Year";"Johnny Logan";"Shay Healy";"The Hague"
"United Kingdom";"Making Your Mind Up";"Bucks Fizz";"John Danter, Andy Hill";"Dublin"
"Germany";"Ein bißchen Frieden";"Nicole";"Ralph Siegel, Bernd Meinunger";"Harrogate"
"Luxembourg";"Si la vie est cadeau";"Corinne Hermès";"Jean-Pierre Millers, Alain Garcia";"Munich"
"Sweden";"Diggi-Loo Diggi-Ley";"Herreys";"Torgny Söderberg, Britt Lindeborg";"Luxembourg"
"Norway";"La det swinge";"Bobbysocks!";"Rolf Løvland";"Gothenburg"
"Belgium";"J'aime la vie";"Sandra Kim";"Jean-Paul Furnémont, Angelo Crisci, Rosario Marino Atria";"Bergen"
"Ireland";"Hold Me Now";"Johnny Logan";"Johnny Logan";"Brussels"
"Switzerland";"Ne partez pas sans moi";"Celine Dion";"Atilla Şereftuğ, Nella Martinetti";"Dublin"
"Yugoslavia";"Rock Me";"Riva";"Rajko Dujmić, Stevo Cvikić";"Lausanne"
"Italy";"Insieme: 1992";"Toto Cutugno";"Toto Cutugno";"Zagreb"
"Sweden";"Fångad av en stormvind";"Carola";"Stephan Berg";"Rome"
"Ireland";"Why Me";"Linda Martin";"Johnny Logan";"Malmö"
"Ireland";"In Your Eyes";"Niamh Kavanagh";"Jimmy Walsh";"Millstreet"
"Ireland";"Rock 'n' Roll Kids";"Paul Harrington and Charlie McGettigan";"Brendan J. Graham";"Dublin"
"Norway";"Nocturne";"Secret Garden";"Rolf Løvland, Petter Skavland";"Dublin"
"Ireland";"The Voice";"Eimear Quinn";"Brendan J. Graham";"Oslo"
"United Kingdom";"Love Shine a Light";"Katrina and the Waves";"Kimberley Rew";"Dublin"
"Israel";"Diva";"Dana International";"Svika Pick, Yoav Ginai";"Birmingham"
"Sweden";"Take Me to Your Heaven";"Charlotte Nilsson";"Lars 'Dille' Diedricson, Marcos Ubeda";"Jerusalem"
"Denmark";"Fly on the Wings of Love";"Olsen Brothers";"Jørgen Olsen";"Stockholm"
"Estonia";"Everybody";"Tanel Padar, Dave Benton and 2XL";"Ivar Must, Maian-Anna Kärmas";"Copenhagen"
"Latvia";"I Wanna";"Marie N";"Marie N, Marats Samauskis";"Tallinn"
"Turkey";"Everyway That I Can";"Sertab Erener";"Demir Demirkan, Sertab Erener";"Riga"
"Ukraine";"Wild Dances";"Ruslana";"Ruslana, Oleksandr Ksenofontov";"Istanbul"
"Greece";"My Number One";"Helena Paparizou";"Christos Dantis, Natalia Germanou";"Kiev"
"Finland";"Hard Rock Hallelujah";"Lordi";"Mr. Lordi";"Athens"
"Serbia";"Molitva";"Marija Šerifović";"Saša Milošević Mare, Vladimir Graić";"Helsinki"
"Russia";"Believe";"Dima Bilan";"Jim Beanz, Dima Bilan";"Belgrade"
"Norway";"Fairytale";"Alexander Rybak";"Alexander Rybak";"Moscow"
"Germany";"Satellite";"Lena";"Julie Frost, John Gordon";"Oslo"
"Azerbaijan";"Running Scared";"Ell/Nikki";"Stefan Örn, Sandra Bjurman, Iain Farquharson";"Düsseldorf"
"Sweden";"Euphoria";"Loreen";"Thomas G:son, Peter Boström";"Baku"
"Denmark";"Only Teardrops";"Emmelie de Forest";"Lise Cabble, Julia Fabrin Jakobsen, Thomas Stengaard";"Malmö"
"(Winner)";"(Song)";"(Performer)";"(Writers)";"(Host city)"
