"http://dbpedia.org/ontology/FormulaOneRacer";"http://dbpedia.org/ontology/Race,http://dbpedia.org/ontology/SportsEvent";"http://dbpedia.org/class/yago/FormulaOneCircuits";"http://dbpedia.org/class/yago/FormulaOneConstruCtors,http://dbpedia.org/class/yago/SportsCars";"http://dbpedia.org/ontology/Race"
"http://dbpedia.org/resource/Category:Racing_drivers_killed_while_racing";"http://dbpedia.org/resource/Category:Formula_One_Grands_Prix";"http://dbpedia.org/resource/Category:Formula_One_circuits";"http://dbpedia.org/resource/Category:Formula_One_constructors,http://dbpedia.org/resource/Category:Sports_car_manufacturers,http://dbpedia.org/resource/Category:Sports_cars";"http://dbpedia.org/resource/Category:Racing"
"Cameron Earl";"Test";"MIRA";"ERA";"Test"
"Chet Miller";"1953 Indianapolis 500";"Indianapolis Motor Speedway";"Kurtis Kraft";"Practice"
"Charles de Tornaco";"1953 Modena Grand Prix";"Modena Autodrome";"Ferrari";"Practice"
"Onofre Marimón";"1954 German Grand Prix";"Nürburgring";"Maserati";"Practice"
"Mario Alborghetti";"1955 Pau Grand Prix";"Pau circuit";"Maserati";"Race"
"Manny Ayulo";"1955 Indianapolis 500";"Indianapolis Motor Speedway";"Kuzma";"Practice"
"Bill Vukovich";"1955 Indianapolis 500";"Indianapolis Motor Speedway";"Kurtis Kraft";"Race"
"Eugenio Castellotti";"Test";"Modena Autodrome";"Ferrari";"Test"
"Keith Andrews";"1957 Indianapolis 500";"Indianapolis Motor Speedway";"Kurtis Kraft";"Practice"
"Pat O'Connor";"1958 Indianapolis 500";"Indianapolis Motor Speedway";"Kurtis Kraft";"Race"
"Luigi Musso";"1958 French Grand Prix";"Reims-Gueux";"Ferrari";"Race"
"Peter Collin";"1958 German Grand Prix";"Nürburgring";"Ferrari";"Race"
"Stuart Lewis-Evan";"1958 Moroccan Grand Prix";"Ain-Diab Circuit";"Vanwall";"Race"
"Jerry Unser, Jr.";"1959 Indianapolis 500";"Indianapolis Motor Speedway";"Kurtis Kraft";"Pre-race test"
"Bob Cortner";"1959 Indianapolis 500";"Indianapolis Motor Speedway";"Cornis";"Pre-race test"
"Harry Schell";"1960 BRDC International Trophy";"Silverstone";"Cooper";"Practice"
"Chris Bristow";"1960 Belgian Grand Prix";"Circuit de Spa-Francorchamps";"Cooper";"Race"
"Alan Stacey";"1960 Belgian Grand Prix";"Circuit de Spa-Francorchamps";"Lotus";"Race"
"Shane Summers";"1961 Silver City Trophy";"Brands Hatch";"Cooper";"Practice"
"Giulio Cabianca";"Test";"Modena Autodrome";"Cooper";"Test"
"Wolfgang von Trips";"1961 Italian Grand Prix";"Autodromo Nazionale Monza";"Ferrari";"Race"
"Ricardo Rodríguez";"1962 Mexican Grand Prix";"Autódromo Hermanos Rodríguez";"Lotus";"Practice"
"Gary Hocking";"1962 Natal Grand Prix";"Westmead Circuit";"Lotus";"Practice"
"Carel Godin de Beaufort";"1964 German Grand Prix";"Nürburgring";"Porsche";"Practice"
"John Taylor";"1966 German Grand Prix";"Nürburgring";"Brabham";"Race"
"Lorenzo Bandini";"1967 Monaco Grand Prix";"Circuit de Monaco";"Ferrari";"Race"
"Bob Anderson";"Test";"Silverstone";"Brabham";"Test"
"Jo Schlesser";"1968 French Grand Prix";"Rouen-Les-Essarts";"Honda";"Race"
"Gerhard Mitter";"1969 German Grand Prix";"Nürburgring";"BMW";"Practice"
"Martin Brain";"Nottingham Sports Car Club meeting";"Silverstone";"Cooper";"Race"
"Piers Courage";"1970 Dutch Grand Prix";"Circuit Park Zandvoort";"De Tomaso";"Race"
"Jochen Rindt";"1970 Italian Grand Prix";"Autodromo Nazionale Monza";"Lotus";"Qualifying"
"Jo Siffert";"1971 World Championship Victory Race";"Brands Hatch";"BRM";"Race"
"Roger Williamson";"1973 Dutch Grand Prix";"Circuit Park Zandvoort";"March";"Race"
"François Cevert";"1973 United States Grand Prix";"Watkins Glen International";"Tyrrell";"Qualifying"
"Peter Revson";"1974 South African Grand Prix";"Kyalami";"Shadow";"Pre-race test"
"Helmuth Koinigg";"1974 United States Grand Prix";"Watkins Glen International";"Surtees";"Race"
"Mark Donohue";"1975 Austrian Grand Prix";"Österreichring";"Penske";"Practice"
"Tom Pryce";"1977 South African Grand Prix";"Kyalami";"Shadow";"Race"
"Brian McGuire";"1977 Shellsport Championship Round 11";"Brands Hatch";"Williams";"Practice"
"Ronnie Peterson";"1978 Italian Grand Prix";"Autodromo Nazionale Monza";"Lotus";"Race"
"Patrick Depailler";"Test";"Hockenheimring";"Alfa Romeo";"Test"
"Gilles Villeneuve";"1982 Belgian Grand Prix";"Circuit Zolder";"Ferrari";"Qualifying"
"Riccardo Paletti";"1982 Canadian Grand Prix";"Circuit Gilles Villeneuve";"Osella";"Race"
"Elio de Angelis";"Test";"Circuit Paul Ricard";"Brabham";"Test"
"Roland Ratzenberger";"1994 San Marino Grand Prix";"Autodromo Enzo e Dino Ferrari";"Simtek";"Qualifying"
"Ayrton Senna";"1994 San Marino Grand Prix";"Autodromo Enzo e Dino Ferrari";"Williams";"Race"
"John Dawson-Damer";"2000 Goodwood Festival of Speed";"Goodwood Hillclimb";"Lotus";"Run"
"Fritz Glatz";"2002 EuroBOSS Series season";"Autodrom Most";"Footwork";"Race"
"(Driver)";"(Race)";"(Circuit)";"(Car)";"(During)"
