"http://dbpedia.org/class/yago/FormulaOneCircuits";"http://dbpedia.org/ontology/Race,http://dbpedia.org/ontology/SportsEvent";"http://dbpedia.org/class/yago/Clockwise";"http://dbpedia.org/ontology/Place,http://dbpedia.org/ontology/PopulatedPlace";"http://dbpedia.org/ontology/Race,http://dbpedia.org/ontology/SportsEvent"
"http://dbpedia.org/resource/Category:Formula_One_circuits";"http://dbpedia.org/resource/Category:Racing";"http://dbpedia.org/resource/Category:Orientation";"http://dbpedia.org/resource/Category:Populated_places";"http://dbpedia.org/resource/Category:Formula_One_Grands_Prix"
"A1-Ring";"Race";"Clockwise";"Zeltweg, Austria";"Austrian Grand Prix"
"Adelaide Street Circuit";"Street";"Clockwise";"Adelaide, Australia";"Australian Grand Prix"
"Ain-Diab Circuit";"Road";"Clockwise";"Casablanca, Morocco";"Moroccan Grand Prix"
"Aintree";"Road";"Clockwise";"Liverpool, United Kingdom";"British Grand Prix"
"Albert Park";"Street";"Clockwise";"Melbourne, Australia";"Australian Grand Prix"
"AVUS";"Street";"Anti-clockwise";"Berlin, Germany";"German Grand Prix"
"Bahrain International Circuit";"Race";"Clockwise";"Sakhir, Bahrain";"Bahrain Grand Prix"
"Circuito da Boavista";"Street";"Anti-clockwise";"Porto, Portugal";"Portuguese Grand Prix"
"Brands Hatch";"Race";"Clockwise";"Kent, United Kingdom";"British Grand Prix,European Grand Prix"
"Circuit Bremgarten";"Road";"Clockwise";"Bremgarten,Switzerland";"Swiss Grand Prix"
"Buddh International Circuit";"Race";"Clockwise";"Greater Noida, India";"Indian Grand Prix"
"Bugatti Circuit";"Race";"Clockwise";"Le Mans, France";"French Grand Prix"
"Caesars Palace";"Street";"Anti-clockwise";"Las Vegas, United States";"Caesars Palace Grand Prix"
"Circuit de Catalunya";"Race";"Clockwise";"Montmeló, Spain";"Spanish Grand Prix"
"Charade Circuit";"Road";"Clockwise";"Clermont-Ferrand,France";"French Grand Prix"
"Circuit of the Americas";"Race";"Anti-clockwise";"Austin, United States";"United States Grand Prix"
"Detroit street circuit";"Street";"Anti-clockwise";"Detroit, United States";"Detroit Grand Prix"
"Dijon-Prenois";"Race";"Clockwise";"Dijon, France";"French Grand Prix,Swiss Grand Prix"
"Donington Park";"Race";"Clockwise";"Leicestershire, United Kingdom";"European Grand Prix"
"Autodromo Enzo e Dino Ferrari";"Race";"Anti-clockwise";"Imola, Italy";"Italian Grand Prix,"San Marino Grand Prix"
"Autódromo do Estoril";"Race";"Clockwise";"Estoril, Portugal";"Portuguese Grand Prix"
"Fair Park";"Street";"Anti-Clockwise";"Dallas, United States";"Dallas Grand Prix"
"Fuji Speedway";"Race";"Clockwise";"Shizuoka, Japan";"Japanese Grand Prix"
"Circuit Gilles Villeneuve";"Street";"Clockwise";"Montreal, Canada";"Canadian Grand Prix"
"Autódromo Hermanos Rodríguez";"Race";"Clockwise";"Mexico City, Mexico";"Mexican Grand Prix"
"Hockenheimring";"Race";"Clockwise";"Hockenheim,Germany";"German Grand Prix"
"Hungaroring";"Race";"Clockwise";"Budapest, Hungary";"Hungarian Grand Prix"
"Indianapolis Motor Speedway";"Race";"Clockwise (Road Course), Anti-Clockwise (Oval Track)";"Speedway, United States";"Indianapolis 500,United States Grand Prix"
"Istanbul Park";"Race";"Anti-clockwise";"Istanbul, Turkey";"Turkish Grand Prix"
"Autódromo Internacional Nelson Piquet";"Race";"Anti-clockwise";"Rio de Janeiro, Brazil";"Brazilian Grand Prix"
"Circuito del Jarama";"Race";"Clockwise";"Jarama, Spain";"Spanish Grand Prix"
"Circuito de Jerez";"Race";"Clockwise";"Jerez de la Frontera,Spain";"Spanish Grand Prix,European Grand Prix"
"Autódromo José Carlos Pace";"Race";"Anti-clockwise";"São Paulo, Brazil";"Brazilian Grand Prix"
"Korea International Circuit";"Race";"Anti-clockwise";"Yeongam, South Korea";"Korean Grand Prix"
"Kyalami";"Race";"Anti-clockwise";"Midrand, South Africa";"South African Grand Prix"
