"http://dbpedia.org/class/yago/JamesBondFilms";"http://dbpedia.org/class/yago/Composer109947232";"http://dbpedia.org/class/yago/SongsFromJamesBondFilms,http://dbpedia.org/ontology/MusicalWork";"http://dbpedia.org/class/yago/Composer109947232,http://dbpedia.org/ontology/MusicalArtist";"http://dbpedia.org/ontology/MusicalArtist"
"http://dbpedia.org/resource/Category:James_Bond_films";"http://dbpedia.org/resource/Category:Film_score_composers";"http://dbpedia.org/resource/Category:Songs_from_James_Bond_films,http://dbpedia.org/resource/Category:Theme_music";"http://dbpedia.org/resource/Category:Composers";"http://dbpedia.org/resource/Category:Musicians"
"Dr. No";"Monty Norman";"James Bond Theme";"Monty Norman";"John Barry & Orchestra"
"From Russia with Love";"John Barry";"Opening Titles: James Bond Is Back/From Russia with Love/James Bond Theme";"John Barry,Lionel Bart,Monty Norman";"John Barry"
"Goldfinger";"John Barry";"Goldfinger";"Leslie Bricusse,Anthony Newley,John Barry";"Shirley Bassey"
"Thunderball";"John Barry";"Thunderball";"John Barry,Don Black";"Tom Jones"
"You Only Live Twice";"John Barry";"You Only Live Twice";"Leslie Bricusse,John Barry";"Nancy Sinatra"
"On Her Majesty's Secret Service";"John Barry";"On Her Majesty's Secret Service,We Have All the Time in the World - Secondary Theme";"John Barry,Hal David";"Louis Armstrong"
"Diamonds Are Forever";"John Barry";"Diamonds Are Forever";"John Barry,Don Black";"Shirley Bassey"
"Live and Let Die";"George Martin";"Live and Let Die";"Paul McCartney,Linda McCartney";"Paul McCartney & Wings"
"The Man with the Golden Gun";"John Barry";"The Man with the Golden Gun";"John Barry,Don Black";"Lulu"
"The Spy Who Loved Me";"Marvin Hamlisch";"Nobody Does It Better";"Marvin Hamlisch,Carole Bayer Sager";"Carly Simon"
"Moonraker";"John Barry";"Moonraker";"John Barry,Hal David";"Shirley Bassey"
"For Your Eyes Only";"Bill Conti";"For Your Eyes Only";"Bill Conti,Michael Leeson";"Sheena Easton"
"Octopussy";"John Barry";"All Time High";"John Barry,Tim Rice,Stephen Short";"Rita Coolidge"
"A View to a Kill";"John Barry";"A View to a Kill";"John Barry,Duran Duran";"Duran Duran"
"The Living Daylights";"John Barry";"The Living Daylights";"John Barry,Pål Waaktaar";"A-ha"
"Licence to Kill";"Michael Kamen";"Licence to Kill";"Narada Michael Walden,Jeffrey Cohen,Walter Afanasieff";"Gladys Knight"
"GoldenEye";"Éric Serra";"GoldenEye";"Bono,The Edge";"Tina Turner"
"Tomorrow Never Dies";"David Arnold";"Tomorrow Never Dies";"Sheryl Crow,Mitchell Froom";"Sheryl Crow"
"The World Is Not Enough";"David Arnold";"The World Is Not Enough";"David Arnold,Don Black";"Garbage"
"Die Another Day";"David Arnold";"Die Another Day";"Madonna,Mirwais Ahmadzaï";"Madonna"
"Casino Royale";"David Arnold";"You Know My Name";"David Arnold,Chris Cornell";"Chris Cornell"
"Quantum of Solace";"David Arnold";"Another Way to Die";"Jack White";"Jack White,Alicia Keys"
"Skyfall";"Thomas Newman";"Skyfall";"Adele,Paul Epworth";"Adele"
"(Film)";"(Score Composer)";"(Title song)";"(Composed by)";"(Performed by)"
