"http://dbpedia.org/class/yago/StatesAndTerritoriesOfIndia";"http://dbpedia.org/class/yago/IndianCapitalCities";"http://dbpedia.org/ontology/Language"
"http://dbpedia.org/resource/Category:States_and_territories_of_India";"http://dbpedia.org/resource/Category:Indian_capital_cities";"http://dbpedia.org/resource/Category:Languages_of_India"
"Andhra Pradesh";"Hyderabad";"Telugu"
"Arunachal Pradesh";"Itanagar";"English"
"Assam";"Dispur";"Assamese"
"Bihar";"Patna";"Maithili,Bhojpuri,Hindi"
"Chhattisgarh";"Raipur";"Chhattisgarhi,Hindi"
"Goa";"Panaji";"Konkani"
"Gujarat";"Gandhinagar";"Gujarati,Hindi"
"Haryana";"Chandigarh";"Haryanvi,Punjabi"
"Himachal Pradesh";"Shimla";"Standard Hindi,Punjabi"
"Jammu and Kashmir";"Srinagar";"Urdu,Punjabi"
"Jharkhand";"Ranchi";"Hindi"
"Karnataka";"Bengaluru";"Kannada"
"Kerala";"Thiruvananthapuram";"Malayalam,English"
"Madhya Pradesh";"Bhopal";"Hindi"
"Maharashtra";"Mumbai";"Marathi"
"Manipur";"Imphal";"Meiteilon"
"Meghalaya";"Shillong";"English"
"Mizoram";"Aizwal";"Mizo"
"Nagaland";"Kohima";"English"
"Odisha";"Bhubaneswar";"Oriya"
"Punjab";"Chandigarh";"Punjabi"
"Rajasthan";"Jaipur";"Hindi,Bagri"
"Sikkim";"Gangtok";"Nepali"
"Tamil Nadu";"Chennai";"Tamil"
"Tripura";"Agartala";"Bengali,Kokborok,English"
"Uttarakhand";"Dehradun";"Hindi"
"Uttar Pradesh";"Lucknow";"Hindi"
"West Bengal";"Kolkata";"Bengali,English"
"(State)";"(Capital)";"(Official Languages)"
