"http://dbpedia.org/ontology/Automobile";"http://dbpedia.org/ontology/Company"
"http://dbpedia.org/resource/Category:Cars";"http://dbpedia.org/resource/Category:Auction_houses,http://dbpedia.org/resource/Category:Auctioneering"
"Ferrari 250 Testa Rossa";"Goodings & Company"
"Ferrari 250 Testa Rossa";"RM Auctions"
"Mercedes-Benz 540K Spezial Roadster";"Goodings & Company"
"Ferrari 250 GT California LWB Competizione Spyder";"Goodings & Company"
"Ford GT40";"RM Auctions"
"Ferrari 250 GT SWB California Spider";"RM Auctions,Sotheby's"
"Duesenberg Model J Long-Wheelbase Coupe";"Goodings & Company"
"Bugatti Royale Kellner Coupe";"Christie's"
"Mercedes-Benz 540K Spezial Roadster";"RM Auctions"
"Ferrari 330 TRI/LM Spider";"RM Auctions,Sotheby's"
"Ferrari 250 GT SWB California Spyder";"RM Auctions"
"Mercedes-Benz 540K Special Roadster";"RM Auctions,Sotheby's"
"Ferrari 250 GT LWB California Spider";"Goodings & Company"
"Ferrari 410S";"RM Auctions"
"Ferrari 250 GT SWB Berlinetta Competizione";"RM Auctions"
"Bugatti Type 57SC Atalante Coupe";"Gooding & Company"
"4½-Litre Supercharged 'Blower' Bentley Single-Seater";"Bonhams"
"Shelby Daytona Cobra Coupe";"Mecum Auctions"
"Mercedes-Benz 38/250 SSK";"Bonhams"
"Rolls-Royce 10 hp Two-Seater";"Bonhams"
"Ferrari 250 LWB California Spider Competizione";"Gooding & Company"
"Ferrari 250 LM";"RM Auctions,Sotheby's"
"Alfa Romeo 8C 2300 Monza";"Gooding & Company"
"Ferrari 250 GT LWB Berlinetta 'Tour de France'";"RM Auctions"
"Ferrari 250 GT California LWB Prototype Spyder";"Goodings & Company"
"Ferraris 625 TRC Spider";"RM Auctions"
"Bugatti Royale Berline de Voyager";"Kruse International"
"Ferrari 330 TRI/LM Spider";"RM Auctions"
"Ferrari 857 Sport";"Goodings & Company"
"Bentley 4½ Litre Le Mans Sports 'Bobtail'";"Goodings & Company"
"Porsche 917/10";"Mecum"
"Ferrari 250 GT LWB California Spider";"Artcurial"
"Ferrari 340/375 MM Berlinetta Competizione";"RM Auctions,Sotheby's"
"Ferrari 330 P3";"Christie's"
"Ferrari 412S";"RM Auctions"
"Shelby Cobra 427 Super Snake";"Barrett-Jackson"
"Ferrari 250 SWB Competizione SEFAC Hot Rod";"Gooding & Company"
"Ferrari 250 SWB Berlinetta Competizione";"RM Auctions"
"Horch 853A Special Roadster";"RM Auctions"
"Ferrari 250 SWB California Spider";"Gooding & Company"
"Bentley Speed Six Tourer";"Christie's"
"Jaguar E2A";"Bonhams"
"Ferrari 250 SWB California Spider";"Gooding & Company"
"Ferrari 250 GT LWB California Competizione Spider";"RM Auctions"
"Talbot-Lago T150C SS Teardrop coupe";"Bonhams"
"Ferrari 375 MM Berlinetta";"RM Auctions"
"Ferrari 340 MM Spider";"Goodings & Company"
"Ferrari 375 MM Berlinetta";"RM Auctions"
"Mercedes-Benz 300SL";"Gooding & Company"
"Mercedes-Benz 540K Spezial Roadster";"RM Auctions"
"De Dion, Bouton et Trépardoux Dos-à-Dos Steam Runabout La Marquise";"RM Auctions"
"Aston Martin DB5";"RM Auctions"
"Talbot-Lago T150C Lago Speciale Teardrop Coupe";"RM Auctions"
"Bentley 4 Litre The Green Hornet";"Gooding & Company"
"Ferrari 250 SWB Berlinetta";"RM Auctions"
"Ferrari 500 TRC";"Goodings & Company"
"Talbot-Lago T150C SS Teardrop Coupé";"RM Auctions"
"Porsche 917/30";"Goodings & Co."
"Ferrari 250 GT California";"Goodings & Company"
"GM Futurliner";"Barrett-Jackson"
"Ferrari 340 Mexico Coupe";"RM Auctions"
"Duesenberg SJ Speedster Mormon Meteor";"Gooding & Company"
"Bugatti Type 57S Atalante";"Bonhams"
"Alfa Romeo 8C 2300 Castagna Drop Head Coupe";"Gooding & Company"
"Alfa Romeo 8C 2900B Pinin Farina Cabriolet";"Christie's"
"McLaren F1";"RM Auctions"
"Porsche 917 Interserie Spyder";"Bonhams"
"Ferrari 250 GT LWB California Spider";"Gooding & Company"
"Ferrari 410 Sport";"RM Auctions"
"Ferrari 400 Superamerica Cabriolet";"RM Auctions"
"Mercedes-Benz 500K Roadster";"RM Auctions"
"Jaguar D-Type";"Gooding & Company"
"Jaguar C-Type";"Goodings & Company"
"Talbot-Lago Lago Special Teardrop Coupe";"RM Auctions"
"Aston Martin DB3S";"RM Auctions"
"Porsche 550/1500 RS Spyder";"Goodings & Co."
"Ferrari 340 Mexico Berlinetta";"RM Auctions"
"Ferrari 250 GT LWB California Spider";"RM Auctions,Sotheby's"
"Ferrari 250 LWB California Spider";"Gooding & Company"
"Ferrari 512S";"RM Auctions,Sotheby's"
"Ferrari 250 GT LWB 'Tour de France' Berlinetta";"RM Auctions"
