"http://dbpedia.org/ontology/Mountain";"http://dbpedia.org/class/yago/StatesOfTheUnitedStates";"http://dbpedia.org/class/yago/MountainRange"
"http://dbpedia.org/resource/Category:Mountains";"http://dbpedia.org/resource/Category:States_of_the_United_States";"http://dbpedia.org/resource/Category:Mountain_ranges"
"Mount McKinley";"Alaska";"Alaska Range"
"Mount Saint Elias";"Alaska";"Saint Elias Mountains"
"Mount Foraker";"Alaska";"Alaska Range"
"Mount Bona";"Alaska";"Saint Elias Mountains"
"Mount Blackburn";"Alaska";"Wrangell Mountains"
"Mount Sanford";"Alaska";"Wrangell Mountains"
"Mount Fairweather";"Alaska";"Saint Elias Mountains"
"Mount Hubbard";"Alaska";"Saint Elias Mountains"
"Mount Bear";"Alaska";"Saint Elias Mountains"
"Mount Hunter";"Alaska";"Alaska Range"
"Mount Alverstone";"Alaska";"Saint Elias Mountains"
"Mount Whitney";"California";"Sierra Nevada"
"University Peak";"Alaska";"Saint Elias Mountains"
"Mount Elbert";"Colorado";"Sawatch Range"
"Mount Massive";"Colorado";"Sawatch Range"
"Mount Harvard";"Colorado";"Sawatch Range"
"Mount Rainier";"Washington";"Cascade Range"
"Mount Williamson";"California";"Sierra Nevada"
"La Plata Peak";"Colorado";"Sawatch Range"
"Blanca Peak";"Colorado";"Sangre de Cristo Mountains"
"Uncompahgre Peak";"Colorado";"San Juan Mountains"
"Crestone Peak";"Colorado";"Sangre de Cristo Mountains"
"Mount Lincoln";"Colorado";"Mosquito Range"
"Castle Peak";"Colorado";"Elk Mountains"
"Grays Peak";"Colorado";"Front Range"
"Mount Antero";"Colorado";"Sawatch Range"
"Mount Evans";"Colorado";"Front Range"
"Longs Peak";"Colorado";"Front Range"
"Mount Wilson";"Colorado";"San Miguel Mountains"
"White Mountain Peak";"California";"White Mountains"
"North Palisade";"California";"Sierra Nevada"
"Mount Princeton";"Colorado";"Sawatch Range"
"Mount Yale";"Colorado";"Sawatch Range"
"Mount Shasta";"California";"Cascade Range"
"Maroon Peak";"Colorado";"Elk Mountains"
"Mount Wrangell";"Alaska";"Wrangell Mountains"
"Mount Sneffels";"Colorado";"Sneffels Range"
"Capitol Peak";"Colorado";"Elk Mountains"
"Pikes Peak";"Colorado";"Front Range"
"Mount Eolus";"Colorado";"Needle Mountains"
"Mount Augusta";"Alaska";"Saint Elias Mountains"
"Handies Peak";"Colorado";"San Juan Mountains"
"Culebra Peak";"Colorado";"Culebra Range"
"San Luis Peak";"Colorado";"La Garita Mountains"
"Mount of the Holy Cross";"Colorado";"Sawatch Range"
"Grizzly Peak";"Colorado";"Sawatch Range"
"Mount Humphreys";"California";"Sierra Nevada"
"Mount Keith";"California";"Sierra Nevada"
"Mount Ouray";"Colorado";"Sawatch Range"
"Vermilion Peak";"Colorado";"San Juan Mountains"
"(Mountain Peak)";"(State)";"(Mountain Range)"
