"http://dbpedia.org/class/yago/CapitalsInEurope";"http://dbpedia.org/class/yago/EuropeanCountries"
"http://dbpedia.org/resource/Category:Capitals_in_Europe";"http://dbpedia.org/resource/Category:European_countries"
"Ankara";"Turkey"
"Moscow";"Russia"
"Baku";"Azerbaijan"
"London";"United Kingdom"
"Podgorica";"Montenegro"
"Rome";"Italy"
"Berlin";"Germany"
"Prishtina";"Kosovo"
"Kiev";"Ukraine"
"Tbilisi";"Georgia"
"Zagreb";"Croatia"
"Madrid";"Spain"
"Skopje";"Republic of Macedonia"
"Budapest";"Hungary"
"Warsaw";"Poland"
"Prague";"Czech Republic"
"Sofia";"Bulgaria"
"Vienna";"Austria"
"Vilnius";"Lithuania"
"Bratislava";"Slovakia"
"Belgrade";"Serbia"
"Riga";"Latvia"
"Minsk";"Belarus"
"Oslo";"Norway"
"Ljubljana";"Slovenia"
"Reykjavík";"Iceland"
"Bucharest";"Romania"
"Yerevan";"Armenia"
"Amsterdam";"Netherlands"
"Stockholm";"Sweden"
"Helsinki";"Finland"
"Tallinn";"Estonia"
"Sarajevo";"Bosnia and Herzegovina"
"Chişinău";"Moldova"
"Dublin";"Republic of Ireland"
"Paris";"France"
"Copenhagen";"Denmark"
"Lisbon";"Portugal"
"Bern";"Switzerland"
"Luxembourg City";"Luxembourg"
"Tirana";"Albania"
"Athens";"Greece"
"City of Brussels";"Belgium"
"Andorra la Vella";"Andorra"
"Vaduz";"Liechtenstein"
"City of San Marino";"San Marino"
"Monaco";"Monaco"
"Valletta";"Malta"
"Nicosia";"Cyprus"
"Vatican City";"Vatican City"
"(Capital)";"(Nation)"
