"http://dbpedia.org/ontology/Organisation";"http://dbpedia.org/ontology/Place,http://dbpedia.org/ontology/City";"http://dbpedia.org/class/yago/NuClearResearchReactors"
"http://dbpedia.org/resource/Category:Organizations";"http://dbpedia.org/resource/Category:Places,http://dbpedia.org/resource/Category:Cities";"http://dbpedia.org/resource/Category:Nuclear_research_reactors"
"Aerotest Operations Inc.";"San Ramon, California";"TRIGA Mark I"
"Armed Forces Radiobiology Research Institute";"Bethesda, Maryland";"TRIGA Mark F"
"Dow Chemical Company";"Midland, Michigan";"TRIGA Mark I"
"General Electric Company";"Sunol, California";"Nuclear Test"
"Idaho State University";"Pocatello, Idaho";"AGN-201 #103"
"Iowa State University";"Ames, Iowa";"experimental, instructional"
"Kansas State University";"Manhattan, Kansas";"TRIGA Mark II"
"Kodak";"Rochester, New York";"Californium Neutron Flux Multiplier"
"Massachusetts Institute of Technology";"Cambridge, Massachusetts";"Tank Type HWR Reflected (MITR-II)"
"Missouri University of Science and Technology";"Rolla, Missouri";"Pool (MSTR)"
"National Institute of Standards and Technology";"Gaithersburg, Maryland";"Tank Type, Heavy Water Moderated"
"North Carolina State University";"Raleigh, North Carolina";"Pulstar"
"Ohio State University";"Columbus, Ohio";"Pool (modified Lockheed)"
"Oregon State University";"Corvallis, Oregon";"TRIGA Mark II (OSTR)"
"Penn State University";"University Park, Pennsylvania";"TRIGA BNR Reactor"
"Purdue University";"West Lafayette, Indiana";"Lockheed (PUR-1)"
"Reed College";"Portland, Oregon";"TRIGA Mark I (RRR)"
"Rensselaer Polytechnic Institute";"Troy, New York";"Reactor Critical Facility"
"Rhode Island Atomic Energy Commission/University of Rhode Island";"Narragansett, Rhode Island";"GE Pool"
"Texas A&M University";"College Station, TX";"AGN-201M #106 - TRIGA Mark I"
"University of Arizona";"Tucson, AZ";"TRIGA Mark I"
"University of California-Davis";"Sacramento, California";"TRIGA Mark II, McClellan Nuclear Radiation Center"
"University of California, Irvine";"Irvine, California";"TRIGA Mark I"
"University of Florida";"Gainesville, Florida";"Argonaut (UFTR)"
"University of Maryland, College Park";"College Park, Maryland";"TRIGA Mark I"
"University of Massachusetts Lowell";"Lowell, Massachusetts";"Pool (UMLRR)"
"University of Missouri";"Columbia, Missouri";"General Electric tank type UMRR"
"University of New Mexico";"Albuquerque, New Mexico";"AGN-201M $112"
"University of Texas at Austin";"Austin, Texas";"TRIGA Mark II"
"University of Utah";"Salt Lake City, Utah";"TRIGA Mark I"
"University of Wisconsin–Madison";"Madison, Wisconsin";"TRIGA Mark I"
"U.S. Geological Survey";"Denver, Colorado";"TRIGA Mark I"
"U.S. Veterans Administration";"Omaha, Nebraska";"TRIGA Mark I"
"Washington State University";"Pullman, Washington";"TRIGA Conversion (WSUR)"
"(Operator)";"(Location)";"(Reactor)"
