"http://dbpedia.org/ontology/SoccerClub,http://dbpedia.org/class/yago/FootballLeaguECluBs,http://dbpedia.org/class/yago/PremierLeaguECluBs";"http://dbpedia.org/ontology/PopulatedPlace,http://dbpedia.org/ontology/Settlement"
"http://dbpedia.org/resource/Category:Football_League_clubs,http://dbpedia.org/resource/Category:Premier_League_clubs";"http://dbpedia.org/resource/Category:Cities"
"Arsenal";"London Borough of Islington"
"Aston Villa";"Aston"
"Barnsley";"Barnsley"
"Birmingham City";"Birmingham"
"Blackburn Rovers";"Blackburn"
"Blackpool";"Blackpool"
"Bolton Wanderers";"Horwich, Bolton"
"Bradford City";"Bradford"
"Burnley";"Burnley"
"Cardiff City";"Cardiff"
"Charlton Athletic";"London Borough of Greenwich"
"Chelsea";"London Borough of Hammersmith and Fulham"
"Coventry City";"Coventry"
"Crystal Palace";"London Borough of Bromley"
"Derby County";"Derby"
"Everton";"Liverpool"
"Fulham";"London Borough of Hammersmith and Fulham"
"Hull City";"Kingston upon Hull"
"Ipswich Town";"Ipswich"
"Leeds United";"Leeds"
"Leicester City";"Leicester"
"Liverpool";"Liverpool"
"Manchester City";"Manchester"
"Manchester United";"Trafford"
"Middlesbrough";"Middlesbrough"
"Newcastle United";"Newcastle upon Tyne"
"Norwich City";"Norwich"
"Nottingham Forest";"West Bridgford"
"Oldham Athletic";"Oldham"
"Portsmouth";"Portsmouth Queens Park"
"Rangers";"London Borough of Hammersmith & Fulham"
"Reading";"Reading"
"Sheffield United";"Sheffield"
"Sheffield Wednesday";"Sheffield"
"Southampton";"Southampton"
"Stoke City";"Stoke-on-Trent"
"Sunderland";"Sunderland"
"Swansea City";"Swansea"
"Swindon Town";"Swindon"
"Tottenham Hotspur";"London Borough of Haringey"
"Watford";"Watford"
"West Bromwich Albion";"West Bromwich"
"West Ham United";"London Borough of Newham"
"Wigan Athletic";"Wigan"
"Wimbledon";"London Borough of Merton"
"Wolverhampton Wanderers";"Wolverhampton"
"(Club)";"(Town or City)"
