"http://dbpedia.org/class/yago/PresidentsOfTheUnitedStates";"http://dbpedia.org/class/yago/PresidentialLibraries";"http://dbpedia.org/ontology/City"
"http://dbpedia.org/resource/Category:Presidents_of_the_United_States";"http://dbpedia.org/resource/Category:Presidential_libraries";"http://dbpedia.org/resource/Category:Places,http://dbpedia.org/resource/Category:Cities"
"George Washington";"Fred W. Smith National Library for the Study of George Washington at Mount Vernon";"Mount Vernon, Virginia"
"Thomas Jefferson";"Robert H. Smith International Center for Jefferson Studies";"Charlottesville, Virginia"
"John Quincy Adams";"Stone Library at Adams National Historical Park";"Quincy, Massachusetts"
"Abraham Lincoln";"Abraham Lincoln Presidential Library and Museum";"Springfield, Illinois"
"Ulysses S. Grant";"Ulysses S. Grant Presidential Library";"Starkville, Mississippi"
"Rutherford Hayes";"Rutherford B. Hayes Presidential Center";"Fremont, Ohio"
"William McKinley";"William McKinley Presidential Library and Museum";"Canton, Ohio"
"Woodrow Wilson";"Woodrow Wilson Presidential Library";"Staunton, Virginia"
"Calvin Coolidge";"Calvin Coolidge Presidential Library and Museum";"Northampton, Massachusetts"
"Herbert Hoover";"Herbert Hoover Presidential Library and Museum";"West Branch, Iowa"
"Franklin D. Roosevelt";"Franklin D. Roosevelt Presidential Library and Museum";"Hyde Park, New York"
"Harry S. Truman";"Harry S. Truman Presidential Museum and Library";"Independence, Missouri"
"Dwight D. Eisenhower";"Dwight D. Eisenhower Presidential Library";"Abilene, Kansas"
"John F. Kennedy";"John F. Kennedy Presidential Library & Museum";"Dorchester, Massachusetts"
"Lyndon B. Johnson";"Lyndon Baines Johnson Library and Museum";"Austin, Texas"
"Richard Nixon";"Richard Nixon Presidential Library and Museum";"Yorba Linda, California"
"Gerald R. Ford";"Gerald R. Ford Museum";"Grand Rapids, Michigan"
"Gerald R. Ford";"Gerald R. Ford Presidential Library";"Ann Arbor, Michigan"
"Jimmy Carter";"Jimmy Carter Library and Museum";"Atlanta, Georgia"
"Ronald Reagan";"Ronald Reagan Presidential Library";"Simi Valley, California"
"George H. W. Bush";"George Bush Presidential Library & Museum";"College Station, Texas"
"Bill Clinton";"William J. Clinton Presidential Center and Park";"Little Rock, Arkansas"
"George W. Bush";"George W. Bush Presidential Center";"Dallas, Texas"
"(President)";"(Library name)";"(Location)"
