"http://dbpedia.org/class/yago/TheSimpsons(season4)Episodes";"http://dbpedia.org/class/yago/AmericanFilmDirectors,http://dbpedia.org/class/yago/AmericanAnimators";"http://dbpedia.org/class/yago/AmericanTelevisionWriters,http://dbpedia.org/class/yago/AmericanAnimators"
"http://dbpedia.org/resource/Category:The_Simpsons_(season_4)_episodes";"http://dbpedia.org/resource/Category:American_television_directors,http://dbpedia.org/resource/Category:Animation_directors,http://dbpedia.org/resource/Category:American_animators";"http://dbpedia.org/resource/Category:American_television_writers,http://dbpedia.org/resource/Category:American_animators"
"Kamp Krusty";"Mark Kirkland";"David M. Stern"
"A Streetcar Named Marge";"Rich Moore";"Jeff Martin"
"Homer the Heretic";"Jim Reardon";"George Meyer"
"Lisa the Beauty Queen";"Mark Kirkland";"Jeff Martin"
"Treehouse of Horror III, The Simpsons Halloween Special III";"Carlos Baeza";"Al Jean & Mike Reiss, Jay Kogen & Wallace Wolodarsky, Sam Simon and Jon Vitti"
"Itchy & Scratchy: The Movie";"Rich Moore";"John Swartzwelder"
"Marge Gets a Job";"Jeff Lynch";"Bill Oakley & Josh Weinstein"
"New Kid on the Block";"Wes Archer";"Conan O'Brien"
"Mr. Plow";"Jim Reardon";"Jon Vitti"
"Lisa's First Word";"Mark Kirkland";"Jeff Martin"
"Homer's Triple Bypass";"David Silverman";"Gary Apple & Michael Carrington"
"Marge vs. the Monorail";"Rich Moore";"Conan O'Brien"
"Selma's Choice";"Carlos Baeza";"David M. Stern"
"Brother from the Same Planet";"Jeff Lynch";"Jon Vitti"
"I Love Lisa";"Wes Archer";"Frank Mula"
"Duffless";"Jim Reardon";"David M. Stern"
"Last Exit to Springfield";"Mark Kirkland";"Jay Kogen & Wallace Wolodarsky"
"So It's Come to This: A Simpsons Clip Show";"Carlos Baeza";"Jon Vitti"
"The Front";"Rich Moore";"Adam I. Lapidus"
"Whacking Day";"Jeff Lynch";"John Swartzwelder"
"Marge in Chains";"Jim Reardon";"Bill Oakley & Josh Weinstein"
"Krusty Gets Kancelled";"David Silverman";"John Swartzwelder"
"(Title)";"(Directed by)";"(Written by)"
