"http://dbpedia.org/class/yago/SixFlagsThemeParks";"http://dbpedia.org/ontology/PopulatedPlace,http://dbpedia.org/ontology/Settlement"
"http://dbpedia.org/resource/Category:Six_Flags_amusement_parks";"http://dbpedia.org/resource/Category:Cities"
"La Ronde";"Montreal, Quebec, Canada"
"Great Escape";"Queensbury, New York"
"Six Flags America";"Mitchellville, Maryland"
"Six Flags Discovery Kingdom";"Vallejo, California"
"Six Flags Fiesta Texas";"San Antonio, Texas"
"Six Flags Great Adventure";"Jackson, New Jersey"
"Six Flags Great America";"Gurnee, Illinois"
"Six Flags Magic Mountain";"Valencia, California"
"Six Flags México";"Mexico City, Mexico"
"Six Flags New England";"Agawam, Massachusetts"
"Six Flags Over Georgia";"Austell, Georgia"
"Six Flags Over Texas";"Arlington, Texas"
"Six Flags St. Louis";"Eureka, Missouri"
"(Name)";"(Location)"
