"http://dbpedia.org/class/yago/HostCitiesOfTheSummerOlympicGames";"http://dbpedia.org/ontology/Country"
"http://dbpedia.org/resource/Category:Host_cities_of_the_Summer_Olympic_Games";"http://dbpedia.org/resource/Category:Countries"
"Athens";"Greece"
"Paris";"France"
"St. Louis";"United States"
"London";"United Kingdom"
"Stockholm";"Sweden"
"Antwerp";"Belgium"
"Paris";"France"
"Amsterdam";"Netherlands"
"Los Angeles";"United States"
"Berlin";"Germany"
"London";"United Kingdom"
"Helsinki";"Finland"
"Melbourne";"Australia"
"Rome";"Italy"
"Tokyo";"Japan"
"Mexico City";"Mexico"
"Munich";"West Germany"
"Montreal";"Canada"
"Moscow";"Soviet Union"
"Los Angeles";"United States"
"Seoul";"South Korea"
"Barcelona";"Spain"
"Atlanta";"United States"
"Sydney";"Australia"
"Athens";"Greece"
"Beijing";"China"
"London";"United Kingdom"
"Rio de Janeiro";"Brazil"
"(Host City)";"(Host Country)"
