"http://dbpedia.org/class/yago/AmericanTelevisionNetworks,http://dbpedia.org/ontology/BroadcastNetwork,http://dbpedia.org/ontology/Broadcaster";"http://dbpedia.org/class/yago/NationalFootballLeaguEAnnouncers"
"http://dbpedia.org/resource/Category:American_television_networks";"http://dbpedia.org/resource/Category:National_Football_League_announcers"
"CBS";"Pat Summerall"
"NBC";"George Ratterman"
"CBS";"Frank Gifford"
"NBC";"Jim Simpson"
"CBS";"Frank Gifford"
"NBC";"Bill Enis"
"CBS";"Tom Brookshier"
"NBC";"Bill Enis"
"CBS";"Tom Brookshier"
"NBC";"Charlie Jones"
"CBS";"Tom Brookshier"
"NBC";"Bryant Gumbel"
"CBS";"Gary Bender"
"NBC";"Mike Adamle"
"CBS";"Brent Musburger"
"NBC";"Bryant Gumbel"
"CBS";"Brent Musburger"
"NBC";"Mike Adamle"
"CBS";"Brent Musburger"
"ABC";"Jim Lampley"
"NBC";"Bob Costas"
"CBS";"Brent Musburger"
"ABC";"Keith Jackson"
"NBC";"Bob Costas"
"CBS";"Brent Musburger"
"ABC";"Brent Musburger"
"CBS";"Lesley Visser"
"NBC";"Bob Costas"
"NBC";"Jim Lampley"
"ABC";"Brent Musburger"
"NBC";"Greg Gumbel"
"Fox";"Terry Bradshaw"
"NBC";"Greg Gumbel"
"Fox";"Terry Bradshaw"
"ABC";"Mike Tirico"
"CBS";"Jim Nantz"
"Fox";"Terry Bradshaw"
"ABC";"Mike Tirico"
"CBS";"Jim Nantz"
"Fox";"Terry Bradshaw"
"ABC";"Mike Tirico"
"CBS";"Jim Nantz"
"Fox";"Terry Bradshaw"
"NBC";"Dan Patrick"
"CBS";"Jim Nantz"
"Fox";"Terry Bradshaw"
"NBC";"Dan Patrick"
"CBS";"Jim Nantz"
"Fox";"Terry Bradshaw"
"(Network)";"(Trophy Presentator)"
