"http://dbpedia.org/class/yago/SkyscrapersInLosAngelesCalifornia";"http://dbpedia.org/class/yago/AmericanArchitects"
"http://dbpedia.org/resource/Category:Skyscrapers_in_Los_Angeles_California";"http://dbpedia.org/resource/Category:American_architects"
"U.S. Bank Tower";"Henry N. Cobb"
"Aon Center";"Charles Luckman"
"Two California Plaza";"Arthur Erickson"
"Gas Company Tower";"Richard Keating"
"Bank of America Center";"Albert C. Martin"
"777 Tower";"César Pelli"
"Wells Fargo Center";"Skidmore, Owings & Merrill"
"Figueroa at Wilshire";"Albert C. Martin"
"City National Tower";"Albert C. Martin"
"Paul Hastings Tower";"Albert C. Martin"
"LA Live Hotels & Condominiums";"Gensler"
"Citigroup Center";"Albert C. Martin"
"611 Place";"William Pereira"
"One California Plaza";"Arthur Erickson"
"Century Plaza Tower II";"Minoru Yamasaki"
"Century Plaza Tower I";"Minoru Yamasaki"
"KPMG Tower";"Skidmore, Owings & Merrill"
"Ernst & Young Plaza";"Skidmore, Owings & Merrill"
"SunAmerica Center";"Johnson & Fain"
"TCW Tower";"Albert C. Martin"
"Union Bank Plaza";"Albert C. Martin"
"10 Universal City Plaza";"Skidmore, Owings & Merrill"
"1100 Wilshire";"Albert C. Martin"
"Fox Plaza";"Johnson & Fain"
"Constellation Place";"Johnson & Fain"
"The Century";"Robert A. M. Stern"
"ARCO Tower";"Gin Wong"
"Los Angeles City Hall";"Austin, Parkinson & Martin"
"Equitable Life Building";"Welton Becket"
"AT&T Center";"William Pereira"
"PacBell Tower";"The Parkinsons"
"5900 Wilshire";"Gin Wong /William Pereira"
"Warner Center Plaza II";"Ware & Malcomb"
"MCI Center";"Charles Luckman"
"(Name)";"(Architect)"
