"http://dbpedia.org/class/yago/VicePresidentsOfTheUnitedStates";"http://dbpedia.org/class/yago/StatesOfTheUnitedStates,http://dbpedia.org/ontology/AdministrativeRegion";"http://dbpedia.org/ontology/PoliticalParty";"http://dbpedia.org/class/yago/PresidentsOfTheUnitedStates";"http://dbpedia.org/ontology/OfficeHolder"
"http://dbpedia.org/resource/Category:Vice_Presidents_of_the_United_States";"http://dbpedia.org/resource/Category:States_of_the_United_States";"http://dbpedia.org/resource/Category:Political_parties_in_the_United_States";"http://dbpedia.org/resource/Category:Presidents_of_the_United_States";"http://dbpedia.org/resource/Category:Political_office-holders"
"John Adams";"Massachusetts";"Federalist";"Washington";"Envoy to France,Minister to Great Britain,Minister to the Netherlands"
"Thomas Jefferson";"Virginia";"Democratic-Republican";"Adams";"Envoy to France,U.S. Secretary of State"
"Aaron Burr";"New York";"Democratic-Republican";"Jefferson";"U.S. Senator"
"George Clinton";"New York";"Democratic-Republican";"Madison";"Governor of New York"
"Elbridge Gerry";"Massachusetts";"Democratic-Republican";"Madison";"U.S. Representative,Governor of Massachusetts"
"Daniel D. Tompkins";"New York";"Democratic-Republican";"Monroe";"Governor of New York"
"John C. Calhoun";"South Carolina";"Democratic-Republican";"J. Q. Adams";"U.S. Representative,Secretary of War"
"Martin Van Buren";"New York";"Democratic";"Jackson";"U.S. Senator,Governor of New York,U.S. Secretary of State,Minister to Great Britain"
"Richard Mentor Johnson";"Kentucky";"Democratic";"Van Buren";"U.S. Senator"
"John Tyler";"Virginia";"Whig";"W. H. Harrison";"U.S. Representative,Governor of Virginia,U.S. Senator,President pro tempore of the Senate"
"George M. Dallas";"Pennsylvania";"Democratic";"Polk";"Minister to Great Britain,Minister to Russia,U.S. Senator"
"Millard Fillmore";"New York";"Whig";"Taylor";"U.S. Representative"
"William R. King";"Alabama";"Democratic";"Pierce";"U.S. Representative,U.S. Senator,President pro tempore of the Senate,Minister to France"
"John C. Breckinridge";"Kentucky";"Democratic";"Buchanan";"U.S. Representative,U.S. Senator"
"Hannibal Hamlin";"Maine";"Republican";"Lincoln";"U.S. Representative,U.S. Senator,Governor of Maine"
"Andrew Johnson";"Tennessee";"Democratic";"Lincoln";"U.S. Representative,U.S. Senator,Governor of Tennessee"
"Schuyler Colfax";"Indiana";"Republican";"Grant";"U.S. Representative,Speaker of the House"
"Henry Wilson";"Massachusetts";"Republican";"Grant";"U.S. Senator"
"William A. Wheeler";"New York";"Republican";"Hayes";"U.S. Representative"
"Chester A. Arthur";"New York";"Republican";"Garfield";"Chairman of the New York Republican Party"
"Thomas A. Hendricks";"Indiana";"Democratic";"Cleveland";"U.S. Representative,U.S. Senator,Governor of Indiana"
"Levi P. Morton";"New York";"Republican";"B. Harrison";"U.S. Representative,Minister to France,Governor of New York"
"Adlai Stevenson I";"Illinois";"Democratic";"Cleveland";"U.S. Representative"
"Garret Hobart";"New Jersey";"Republican";"McKinley";"President of the New Jersey Senate"
"Theodore Roosevelt";"New York";"Republican";"McKinley";"Governor of New York"
"Charles W. Fairbanks";"Indiana";"Republican";"T. Roosevelt";"U.S. Senator"
"James S. Sherman";"New York";"Republican";"Taft";"U.S. Representative"
"Thomas R. Marshall";"Indiana";"Democratic";"Wilson";"Governor of Indiana"
"Calvin Coolidge";"Massachusetts";"Republican";"Harding";"Governor of Massachusetts"
"Charles G. Dawes";"Illinois";"Republican";"Coolidge";"Director of the Bureau of the Budget"
"Charles Curtis";"Kansas";"Republican";"Hoover";"U.S. Senator,President pro tempore of the Senate,Senate Majority Leader"
"John Nance Garner";"Texas";"Democratic";"F. D. Roosevelt";"U.S. Representative,Speaker of the House"
"Henry A. Wallace";"Iowa";"Democratic";"F. D. Roosevelt";"Secretary of Agriculture"
"Harry S. Truman";"Missouri";"Democratic";"F. D. Roosevelt";"U.S. Senator"
"Alben W. Barkley";"Kentucky";"Democratic";"Truman";"U.S. Senator,Senate Democratic Leader"
"Richard Nixon";"California";"Republican";"Eisenhower";"U.S. Representative,U.S. Senator"
"Lyndon B. Johnson";"Texas";"Democratic";"Kennedy";"U.S. Senator,Senate Democratic Leader"
"Hubert Humphrey";"Minnesota";"Democratic";"L. B. Johnson";"U.S. Senator,Senate Majority Whip"
"Spiro Agnew";"Maryland";"Republican";"Nixon";"Governor of Maryland"
"Gerald Ford";"Michigan";"Republican";"Nixon";"U.S. Representative,House Minority Leader"
"Nelson Rockefeller";"New York";"Republican";"Ford";"Governor of New York"
"Walter Mondale";"Minnesota";"Democratic";"Carter";"U.S. Senator"
"George H. W. Bush";"Texas";"Republican";"Reagan";"U.S. Representative,Ambassador to the United Nations,Chief of the Liaison Office to China,Director of Central Intelligence"
"Dan Quayle";"Indiana";"Republican";"G.H.W. Bush";"U.S. Representative,U.S. Senator"
"Al Gore";"Tennessee";"Democratic";"Clinton";"U.S. Representative,U.S. Senator"
"Dick Cheney";"Wyoming";"Republican";"G. W. Bush";"White House Chief of Staff,U.S. Representative,House Minority Whip,Secretary of Defense"
"Joe Biden";"Delaware";"Democratic";"Obama";"U.S. Senator"
"(Vice President)";"(State)";"(Party)";"(President served under)";"(Prior offices)"
