"http://dbpedia.org/ontology/VideoGame";"http://dbpedia.org/class/yago/VideoGameDevelopers";"http://dbpedia.org/class/yago/VideoGamePuBlishers"
"http://dbpedia.org/resource/Category:Wii_games";"http://dbpedia.org/resource/Category:Video_game_development_companies";"http://dbpedia.org/resource/Category:Video_game_publishers"
"The $1,000,000 Pyramid";"Ludia";"Ubisoft"
"007: Quantum of Solace";"Treyarch";"Activision"
"10 Minute Solution";"Seamless Entertainment";"Activision"
"101-in-1 Party Megamix";"Nordcurrent";"Atlus"
"101-in-1 Sports Party Megamix";"Nordcurrent";"Atlus"
"428: Fūsa Sareta Shibuya de";"Chunsoft";"Sega"
"2010 FIFA World Cup South Africa";"EA Canada";"Electronic Arts"
"A Boy and His Blob";"WayForward Technologies";"Majesco"
"AC/DC Live: Rock Band Track Pack";"Harmonix Music Systems";"MTV Games"
"Academy of Champions: Soccer";"Ubisoft Vancouver";"Ubisoft"
"Action Girlz Racing";"Conspiracy Entertainment";"Metro 3D"
"Active Life: Outdoor Challenge";"h.a.n.d.";"Namco Bandai"
"Active Life: Explorer";"Namco Bandai";"Namco Bandai"
"Active Life: Extreme Challenge";"Namco Bandai";"Namco Bandai"
"The Adventures of Tintin: The Secret of the Unicorn (video game)";"Ubisoft";"Ubisoft"
"AFL";"Wicked Witch Software";"Tru Blu Entertainment"
"Agatha Christie: And Then There Were None";"AWE Productions";"The Adventure Company"
"Agatha Christie: Evil Under the Sun";"AWE Productions";"The Adventure Company"
"Aladdin Magic Racer";"Neko Entertainment";"Red Wagon"
"Alan Hansen's Sports Challenge";"Oxygen Studios";"Oxygen Games"
"Alice in Wonderland";"Etranges Libellules";"Disney Interactive"
"Alien Syndrome";"Totally Games";"Sega"
"Aliens in the Attic";"Revistronic";"Playlogic"
"All Round Hunter";"505 Games";"505 Games"
"All Star Cheer Squad";"Gorilla Systems Corp.";"THQ"
"All Star Cheer Squad 2";"Gorilla Systems Corp.";"THQ"
"Alone in the Dark";"Hydravision Entertainment";"Atari"
"Alvin and the Chipmunks";"Sensory Sweep Studios";"Brash Entertainment"
"Alvin and the Chipmunks: The Squeakquel";"Sensory Sweep Studios";"Majesco"
"The Amazing Race";"Ludia";"Ubisoft"
"America's Next Top Model";"Digital Entertainment Pool";"Conspiracy Entertainment"
"AMF Bowling Pinbusters!";"Mud Duck Productions";"Bethesda Softworks"
"AMF Bowling World Lanes";"Frontline Studios";"Bethesda Softworks"
"Animal Crossing: City Folk";"Nintendo EAD";"Nintendo"
"Angry Birds Trilogy";"Rovio Entertainment";"Activision"
"Another Code: R - A Journey into Lost Memories";"Cing";"Nintendo"
"The Ant Bully";"Artificial Mind and Movement";"Midway Games"
"Anubis II";"Data Design Interactive";"Conspiracy Entertainment"
"Aqua Panic!";"Eko System";"XS Games, Jack of All Games"
"Aquatic Tales";"Gameinvest";"Gameinvest"
"Arc Rise Fantasia";"Marvelous Entertainment";"Ignition Entertainment"
"Arctic Tale";"Atomic Planet";"Destination Software"
"Ashes Cricket 2009";"Gusto Games";"Codemasters"
"Asterix at the Olympic Games";"Etranges Libellules";"Atari"
"Astro Boy: The Video Game";"High Voltage Software";"D3 Publisher"
"Atrévete a Soñar";"Televisa";"Nintendo"
"Attack of the Movies 3D";"Panic Button";"Majesco"
"Avatar: The Last Airbender";"THQ";"THQ"
"Avatar: The Last Airbender – Into the Inferno";"THQ";"THQ"
"Avatar: The Last Airbender – The Burning Earth";"THQ";"THQ"
"Cooking Mama World: Babysitting Mama";"cooking mama limited";"Majesco Sales Inc."
"The Bachelor: The Video Game";"Ludia";"Warner Bros. Interactive Entertainment Inc."
"Backyard Football";"Humongous Entertainment";"Atari"
"Backyard Football '09";"Humongous Entertainment";"Atari"
"Backyard Football '10";"Humongous Entertainment";"Atari"
"Backyard Sports: Sandlot Sluggers";"HB Studios, Humongous Entertainment";"Atari"
"Backyard Sports Football: Rookie Rush";"HB Studios, Humongous Entertainment";"Atari"
"Bakugan Battle Brawlers";"NOW Production";"Activision"
