"http://dbpedia.org/class/yago/WorldWarIIGermanInfantryWeapons";"http://dbpedia.org/class/yago/FirearmsManuFACturersInGermany,http://dbpedia.org/ontology/Organisation";" "
"http://dbpedia.org/resource/Category:World_War_II_German_infantry_weapons";"http://dbpedia.org/resource/Category:Firearms_manufacturers_in_Germany";"http://dbpedia.org/resource/Category:Pistol_and_rifle_cartridges,http://dbpedia.org/resource/Category:Military_cartridges"
"Astra 300";"Astra-Unceta y Cia SA";"7.65×17mm SR,9×17mm Kurz"
"Astra 400";"Astra-Unceta y Cia SA";"9×23mm Largo"
"Astra 600";"Astra-Unceta y Cia SA";"9×19mm Parabellum"
"Astra 900";"Astra-Unceta y Cia SA";"7.63×25mm Mauser"
"Browning Hi-Power";"Fabrique Nationale d'Herstal";"9×19mm Parabellum"
"Dreyse M1907";"Rheinmetall";"7.65×17mm SR"
"FÉG 37M";"Fémárú, Fegyver- és Gépgyár";"7.65×17mm SR"
"Luger P08 pistol";"Deutsche Waffen und Munitionsfabriken,Mauser-Werke";"9×19mm Parabellum"
"Mauser HSc";"Mauser-Werke";"7.65×17mm SR"
"Mauser C96";"Mauser-Werke";"7.63×25mm Mauser,9×19mm Parabellum"
"Radom wz.35 Vis";"Łucznik Arms Factory, Radom";"9×19mm Parabellum"
"Steyr M1912";"Steyr Mannlicher";"9×19mm Parabellum,9×23mm Steyr"
"Sauer 38H";"Sauer & Sohn";"7.65×17mm SR"
"Star Model B";"Star Bonifacio Echeverria";"9×19mm Parabellum"
"Volkspistole";"Mauser-Werke,Carl Walther GmbH";"9×19mm Parabellum"
"Walther P38";"Carl Walther GmbH,Mauser-Werke,Spreewerke GmbH";"9×19mm Parabellum"
"Walther PP";"Carl Walther GmbH";"7.65×17mm SR"
"Walther PPK";"Carl Walther GmbH";"7.65×17mm SR,9×17mm Kurz"
"(Name)";"(Manufacturer)";"(Cartridge)"
